[5.255000000] HUB -> APP | Other Notification (Type: 0x47) | Raw: 0a004732000100000001
[5.284000000] HUB -> APP | Other Notification (Type: 0x82) | Raw: 050082320a
[5.614000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 080045030300ff00
[6.424000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 080045030900ff00
[7.114000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 080045030300ff00
[7.294000000] HUB -> APP | Hub Status/Button Alert | Raw Data: 0506c8
[7.924000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 080045030900ff00
[8.614000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 080045030300ff00
[9.424000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 080045030900ff00
[10.114000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 080045030300ff00
[10.924000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 080045030900ff00
[11.614000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 080045030300ff00
[12.274000000] HUB -> APP | Hub Status/Button Alert | Raw Data: 0506cc
[12.424000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 080045030900ff00
[13.114000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 080045030300ff00
[13.924000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 080045030900ff00
[14.615000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 080045030300ff00
[15.424000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 080045030900ff00
[16.115000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 080045030300ff00
[16.924000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 080045030900ff00
[17.284000000] HUB -> APP | Hub Status/Button Alert | Raw Data: 0506c7
[17.615000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 080045030300ff00
[18.424000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 080045030900ff00
[19.115000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 080045030300ff00
[19.924000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 080045030900ff00
[20.615000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 080045030300ff00
